Company name;Dispatching_base_number
Juno;B02914
Juno;B02907
Juno;B02908
Juno;B03035
Lyft;B02510
Lyft;B02844
Uber;B02877
Uber;B02866
Uber;B02882
Uber;B02869
Uber;B02617
Uber;B02876
Uber;B02865
Uber;B02512
Uber;B02888 
Uber;B02864
Uber;B02883
Uber;B02875
Uber;B02682
Uber;B02880
Uber;B02870
Uber;B02404
Uber;B02598
Uber;B02765
Uber;B02879
Uber;B02867
Uber;B02878
Uber;B02887
Uber;B02872
Uber;B02836
Uber;B02884
Uber;B02835
Uber;B02764
Uber;B02889
Uber;B02871
Uber;B02395
Via;B03136
Via;B02800
