Date,max,min,Precip,holiday
2017/9/1,71,55,0,0
2017/9/1,71,55,0,0
2017/9/2,68,54,0.53,0
2017/9/2,68,54,0.53,0
2017/9/3,69,59,0.74,0
2017/9/3,69,59,0.74,0
2017/9/4,80,61,0,1
2017/9/4,80,61,0,1
2017/9/5,85,69,0,0
2017/9/5,85,69,0,0
2017/9/6,72,61,0.43,0
2017/9/6,72,61,0.43,0
2017/9/7,71,59,0,0
2017/9/7,71,59,0,0
2017/9/8,71,58,0,0
2017/9/8,71,58,0,0
2017/9/9,70,55,0,0
2017/9/9,70,55,0,0
2017/9/10,72,57,0,0
2017/9/10,72,57,0,0
2017/9/11,76,55,0,0
2017/9/11,76,55,0,0
2017/9/12,78,59,0,0
2017/9/12,78,59,0,0
2017/9/13,83,64,0,0
2017/9/13,83,64,0,0
2017/9/14,81,70,0,0
2017/9/14,81,70,0,0
2017/9/15,81,67,0,0
2017/9/15,81,67,0,0
2017/9/16,82,70,0,0
2017/9/16,82,70,0,0
2017/9/17,81,68,0,0
2017/9/17,81,68,0,0
2017/9/18,73,68,0,0
2017/9/18,73,68,0,0
2017/9/19,78,69,0.22,0
2017/9/19,78,69,0.22,0
2017/9/20,79,71,0,0
2017/9/20,79,71,0,0
2017/9/21,80,71,0,0
2017/9/21,80,71,0,0
2017/9/22,82,66,0,0
2017/9/22,82,66,0,0
2017/9/23,87,68,0,0
2017/9/23,87,68,0,0
2017/9/24,91,69,0,0
2017/9/24,91,69,0,0
2017/9/25,88,70,0,0
2017/9/25,88,70,0,0
2017/9/26,84,68,0,0
2017/9/26,84,68,0,0
2017/9/27,87,69,0,0
2017/9/27,87,69,0,0
2017/9/28,79,59,0,0
2017/9/28,79,59,0,0
2017/9/29,68,55,0,0
2017/9/29,68,55,0,0
2017/9/30,66,54,0,0
2017/9/30,66,54,0,0
2017/10/1,68,50,0,0
2017/10/1,68,50,0,0
2017/10/2,73,52,0,0
2017/10/2,73,52,0,0
2017/10/3,71,57,0,0
2017/10/3,71,57,0,0
2017/10/4,75,56,0,0
2017/10/4,75,56,0,0
2017/10/5,83,65,0,0
2017/10/5,83,65,0,0
2017/10/6,82,68,0,0
2017/10/6,82,68,0,0
2017/10/7,81,66,0,0
2017/10/7,81,66,0,0
2017/10/8,77,72,0.22,0
2017/10/8,77,72,0.22,0
2017/10/9,77,71,0.26,1
2017/10/9,77,71,0.26,1
2017/10/10,81,66,0,0
2017/10/10,81,66,0,0
2017/10/11,77,60,0.06,0
2017/10/11,77,60,0.06,0
2017/10/12,64,55,0.07,0
2017/10/12,64,55,0.07,0
2017/10/13,67,52,0,0
2017/10/13,67,52,0,0
2017/10/14,72,61,0.08,0
2017/10/14,72,61,0.08,0
2017/10/15,74,65,0,0
2017/10/15,74,65,0,0
2017/10/16,69,46,0,0
2017/10/16,69,46,0,0
2017/10/17,58,42,0,0
2017/10/17,58,42,0,0
2017/10/18,72,50,0,0
2017/10/18,72,50,0,0
2017/10/19,71,56,0,0
2017/10/19,71,56,0,0
2017/10/20,73,57,0,0
2017/10/20,73,57,0,0
2017/10/21,78,56,0,0
2017/10/21,78,56,0,0
2017/10/22,76,57,0,0
2017/10/22,76,57,0,0
2017/10/23,74,61,0,0
2017/10/23,74,61,0,0
2017/10/24,74,67,0.2,0
2017/10/24,74,67,0.2,0
